"fov","cellID","x_local_px","y_local_px","x_global_px","y_global_px"
32,14,1075,4192,152150.817108155,-38294.1113230387
32,14,1070,4187,152145.817108155,-38299.1113230387
32,14,1068,4186,152143.817108155,-38300.1113230387
32,14,1065,4185,152140.817108155,-38301.1113230387
32,14,1060,4184,152135.817108155,-38302.1113230387
32,14,1046,4182,152121.817108155,-38304.1113230387
32,14,1041,4183,152116.817108155,-38303.1113230387
32,14,1038,4184,152113.817108155,-38302.1113230387
32,14,1032,4187,152107.817108155,-38299.1113230387
32,14,1020,4195,152095.817108155,-38291.1113230387
32,14,1015,4200,152090.817108155,-38286.1113230387
32,14,1014,4202,152089.817108155,-38284.1113230387
32,14,1014,4218,152089.817108155,-38268.1113230387
32,14,1024,4256,152099.817108155,-38230.1113230387
32,15,3210,4256,154285.817108155,-38230.1113230387
32,15,3211,4253,154286.817108155,-38233.1113230387
32,15,3211,4226,154286.817108155,-38260.1113230387
32,15,3210,4223,154285.817108155,-38263.1113230387
32,15,3202,4203,154277.817108155,-38283.1113230387
32,15,3198,4199,154273.817108155,-38287.1113230387
32,15,3196,4198,154271.817108155,-38288.1113230387
32,15,3193,4197,154268.817108155,-38289.1113230387
32,15,3188,4196,154263.817108155,-38290.1113230387
32,15,3184,4196,154259.817108155,-38290.1113230387
32,15,3159,4197,154234.817108155,-38289.1113230387
32,15,3150,4198,154225.817108155,-38288.1113230387
32,15,3145,4199,154220.817108155,-38287.1113230387
32,15,3142,4200,154217.817108155,-38286.1113230387
32,15,3128,4207,154203.817108155,-38279.1113230387
32,15,3123,4212,154198.817108155,-38274.1113230387
32,15,3119,4218,154194.817108155,-38268.1113230387
32,15,3117,4231,154192.817108155,-38255.1113230387
32,15,3117,4256,154192.817108155,-38230.1113230387
32,16,1921,4256,152996.817108155,-38230.1113230387
32,16,1945,4242,153020.817108155,-38244.1113230387
32,16,1956,4233,153031.817108155,-38253.1113230387
32,16,1957,4232,153032.817108155,-38254.1113230387
32,16,1957,4228,153032.817108155,-38258.1113230387
32,16,1949,4207,153024.817108155,-38279.1113230387
32,16,1938,4182,153013.817108155,-38304.1113230387
32,16,1936,4181,153011.817108155,-38305.1113230387
32,16,1933,4180,153008.817108155,-38306.1113230387
32,16,1922,4179,152997.817108155,-38307.1113230387
32,16,1910,4179,152985.817108155,-38307.1113230387
32,16,1900,4180,152975.817108155,-38306.1113230387
32,16,1890,4182,152965.817108155,-38304.1113230387
32,16,1886,4183,152961.817108155,-38303.1113230387
32,16,1874,4187,152949.817108155,-38299.1113230387
32,16,1873,4189,152948.817108155,-38297.1113230387
32,16,1872,4192,152947.817108155,-38294.1113230387
32,16,1859,4234,152934.817108155,-38252.1113230387
32,16,1859,4238,152934.817108155,-38248.1113230387
32,16,1862,4247,152937.817108155,-38239.1113230387
32,16,1863,4249,152938.817108155,-38237.1113230387
32,16,1870,4256,152945.817108155,-38230.1113230387
32,17,1817,4256,152892.817108155,-38230.1113230387
32,17,1822,4253,152897.817108155,-38233.1113230387
32,17,1827,4248,152902.817108155,-38238.1113230387
32,17,1833,4240,152908.817108155,-38246.1113230387
32,17,1834,4172,152909.817108155,-38314.1113230387
32,17,1834,4170,152909.817108155,-38316.1113230387
32,17,1833,4169,152908.817108155,-38317.1113230387
32,17,1830,4167,152905.817108155,-38319.1113230387
32,17,1823,4163,152898.817108155,-38323.1113230387
32,17,1821,4162,152896.817108155,-38324.1113230387
32,17,1818,4162,152893.817108155,-38324.1113230387
32,17,1780,4181,152855.817108155,-38305.1113230387
32,17,1770,4187,152845.817108155,-38299.1113230387
32,17,1764,4195,152839.817108155,-38291.1113230387
32,17,1764,4197,152839.817108155,-38289.1113230387
32,17,1770,4212,152845.817108155,-38274.1113230387
32,17,1776,4226,152851.817108155,-38260.1113230387
32,17,1791,4256,152866.817108155,-38230.1113230387
32,18,2245,4256,153320.817108155,-38230.1113230387
32,18,2284,4225,153359.817108155,-38261.1113230387
32,18,2291,4168,153366.817108155,-38318.1113230387
32,18,2291,4160,153366.817108155,-38326.1113230387
32,18,2284,4153,153359.817108155,-38333.1113230387
32,18,2278,4150,153353.817108155,-38336.1113230387
32,18,2269,4146,153344.817108155,-38340.1113230387
32,18,2239,4134,153314.817108155,-38352.1113230387
32,18,2216,4134,153291.817108155,-38352.1113230387
32,18,2204,4136,153279.817108155,-38350.1113230387
32,18,2199,4137,153274.817108155,-38349.1113230387
32,18,2196,4138,153271.817108155,-38348.1113230387
32,18,2194,4139,153269.817108155,-38347.1113230387
32,18,2185,4148,153260.817108155,-38338.1113230387
32,18,2168,4177,153243.817108155,-38309.1113230387
32,18,2167,4179,153242.817108155,-38307.1113230387
32,18,2167,4182,153242.817108155,-38304.1113230387
32,18,2172,4238,153247.817108155,-38248.1113230387
32,18,2177,4243,153252.817108155,-38243.1113230387
32,18,2200,4256,153275.817108155,-38230.1113230387
32,19,202,4256,151277.817108155,-38230.1113230387
32,19,227,4248,151302.817108155,-38238.1113230387
32,19,233,4233,151308.817108155,-38253.1113230387
32,19,235,4210,151310.817108155,-38276.1113230387
32,19,235,4198,151310.817108155,-38288.1113230387
32,19,233,4196,151308.817108155,-38290.1113230387
32,19,230,4194,151305.817108155,-38292.1113230387
32,19,202,4182,151277.817108155,-38304.1113230387
32,19,96,4197,151171.817108155,-38289.1113230387
32,19,92,4199,151167.817108155,-38287.1113230387
32,19,82,4206,151157.817108155,-38280.1113230387
32,19,81,4207,151156.817108155,-38279.1113230387
32,19,83,4213,151158.817108155,-38273.1113230387
32,19,112,4256,151187.817108155,-38230.1113230387
32,20,260,4256,151335.817108155,-38230.1113230387
32,20,329,4231,151404.817108155,-38255.1113230387
32,20,338,4227,151413.817108155,-38259.1113230387
32,20,343,4224,151418.817108155,-38262.1113230387
32,20,344,4223,151419.817108155,-38263.1113230387
32,20,344,4221,151419.817108155,-38265.1113230387
32,20,340,4211,151415.817108155,-38275.1113230387
32,20,339,4209,151414.817108155,-38277.1113230387
32,20,331,4197,151406.817108155,-38289.1113230387
32,20,324,4187,151399.817108155,-38299.1113230387
32,20,323,4186,151398.817108155,-38300.1113230387
32,20,312,4186,151387.817108155,-38300.1113230387
32,20,284,4187,151359.817108155,-38299.1113230387
32,20,254,4193,151329.817108155,-38293.1113230387
32,20,245,4195,151320.817108155,-38291.1113230387
32,20,241,4196,151316.817108155,-38290.1113230387
32,20,237,4198,151312.817108155,-38288.1113230387
32,20,235,4201,151310.817108155,-38285.1113230387
32,20,228,4246,151303.817108155,-38240.1113230387
32,20,228,4248,151303.817108155,-38238.1113230387
32,20,235,4255,151310.817108155,-38231.1113230387
32,20,237,4256,151312.817108155,-38230.1113230387
32,21,604,4256,151679.817108155,-38230.1113230387
32,21,610,4254,151685.817108155,-38232.1113230387
32,21,640,4239,151715.817108155,-38247.1113230387
32,21,663,4216,151738.817108155,-38270.1113230387
32,21,664,4214,151739.817108155,-38272.1113230387
32,21,665,4211,151740.817108155,-38275.1113230387
32,21,667,4203,151742.817108155,-38283.1113230387
32,21,668,4198,151743.817108155,-38288.1113230387
32,21,668,4196,151743.817108155,-38290.1113230387
32,21,661,4186,151736.817108155,-38300.1113230387
32,21,658,4183,151733.817108155,-38303.1113230387
32,21,645,4174,151720.817108155,-38312.1113230387
32,21,619,4162,151694.817108155,-38324.1113230387
32,21,607,4162,151682.817108155,-38324.1113230387
32,21,599,4163,151674.817108155,-38323.1113230387
32,21,584,4165,151659.817108155,-38321.1113230387
32,21,580,4167,151655.817108155,-38319.1113230387
32,21,574,4171,151649.817108155,-38315.1113230387
32,21,569,4176,151644.817108155,-38310.1113230387
32,21,563,4184,151638.817108155,-38302.1113230387
32,21,560,4190,151635.817108155,-38296.1113230387
32,21,557,4199,151632.817108155,-38287.1113230387
32,21,556,4204,151631.817108155,-38282.1113230387
32,21,554,4216,151629.817108155,-38270.1113230387
32,21,554,4227,151629.817108155,-38259.1113230387
32,21,555,4232,151630.817108155,-38254.1113230387
32,21,556,4235,151631.817108155,-38251.1113230387
32,21,557,4237,151632.817108155,-38249.1113230387
32,21,567,4249,151642.817108155,-38237.1113230387
32,21,574,4256,151649.817108155,-38230.1113230387
32,22,3831,4256,154906.817108155,-38230.1113230387
32,22,3833,4254,154908.817108155,-38232.1113230387
32,22,3842,4229,154917.817108155,-38257.1113230387
32,22,3842,4224,154917.817108155,-38262.1113230387
32,22,3840,4218,154915.817108155,-38268.1113230387
32,22,3837,4212,154912.817108155,-38274.1113230387
32,22,3828,4203,154903.817108155,-38283.1113230387
32,22,3826,4202,154901.817108155,-38284.1113230387
32,22,3816,4198,154891.817108155,-38288.1113230387
32,22,3813,4197,154888.817108155,-38289.1113230387
32,22,3807,4197,154882.817108155,-38289.1113230387
32,22,3787,4206,154862.817108155,-38280.1113230387
32,22,3785,4207,154860.817108155,-38279.1113230387
32,22,3777,4212,154852.817108155,-38274.1113230387
32,22,3776,4213,154851.817108155,-38273.1113230387
32,22,3776,4215,154851.817108155,-38271.1113230387
32,22,3778,4228,154853.817108155,-38258.1113230387
32,22,3780,4232,154855.817108155,-38254.1113230387
32,22,3788,4244,154863.817108155,-38242.1113230387
32,22,3802,4256,154877.817108155,-38230.1113230387
32,23,1466,4250,152541.817108155,-38236.1113230387
32,23,1471,4249,152546.817108155,-38237.1113230387
32,23,1474,4248,152549.817108155,-38238.1113230387
32,23,1476,4247,152551.817108155,-38239.1113230387
32,23,1481,4242,152556.817108155,-38244.1113230387
32,23,1484,4236,152559.817108155,-38250.1113230387
32,23,1485,4233,152560.817108155,-38253.1113230387
32,23,1486,4228,152561.817108155,-38258.1113230387
32,23,1486,4222,152561.817108155,-38264.1113230387
32,23,1485,4217,152560.817108155,-38269.1113230387
32,23,1471,4157,152546.817108155,-38329.1113230387
32,23,1469,4149,152544.817108155,-38337.1113230387
32,23,1468,4146,152543.817108155,-38340.1113230387
32,23,1466,4142,152541.817108155,-38344.1113230387
32,23,1465,4141,152540.817108155,-38345.1113230387
32,23,1463,4140,152538.817108155,-38346.1113230387
32,23,1454,4138,152529.817108155,-38348.1113230387
32,23,1448,4138,152523.817108155,-38348.1113230387
32,23,1428,4139,152503.817108155,-38347.1113230387
32,23,1417,4141,152492.817108155,-38345.1113230387
32,23,1398,4175,152473.817108155,-38311.1113230387
32,23,1398,4177,152473.817108155,-38309.1113230387
32,23,1454,4249,152529.817108155,-38237.1113230387
32,23,1459,4250,152534.817108155,-38236.1113230387
32,24,2896,4250,153971.817108155,-38236.1113230387
32,24,2901,4249,153976.817108155,-38237.1113230387
32,24,2904,4248,153979.817108155,-38238.1113230387
32,24,2906,4247,153981.817108155,-38239.1113230387
32,24,2915,4238,153990.817108155,-38248.1113230387
32,24,2916,4236,153991.817108155,-38250.1113230387
32,24,2917,4233,153992.817108155,-38253.1113230387
32,24,2918,4228,153993.817108155,-38258.1113230387
32,24,2918,4226,153993.817108155,-38260.1113230387
32,24,2917,4221,153992.817108155,-38265.1113230387
32,24,2916,4218,153991.817108155,-38268.1113230387
32,24,2912,4208,153987.817108155,-38278.1113230387
32,24,2907,4198,153982.817108155,-38288.1113230387
32,24,2898,4191,153973.817108155,-38295.1113230387
32,24,2895,4189,153970.817108155,-38297.1113230387
32,24,2867,4172,153942.817108155,-38314.1113230387
32,24,2862,4169,153937.817108155,-38317.1113230387
32,24,2860,4168,153935.817108155,-38318.1113230387
32,24,2856,4168,153931.817108155,-38318.1113230387
32,24,2851,4169,153926.817108155,-38317.1113230387
32,24,2842,4172,153917.817108155,-38314.1113230387
32,24,2840,4173,153915.817108155,-38313.1113230387
32,24,2832,4179,153907.817108155,-38307.1113230387
32,24,2817,4194,153892.817108155,-38292.1113230387
32,24,2816,4196,153891.817108155,-38290.1113230387
32,24,2815,4199,153890.817108155,-38287.1113230387
32,24,2814,4204,153889.817108155,-38282.1113230387
32,24,2815,4209,153890.817108155,-38277.1113230387
32,24,2816,4212,153891.817108155,-38274.1113230387
32,24,2817,4214,153892.817108155,-38272.1113230387
32,24,2822,4219,153897.817108155,-38267.1113230387
32,24,2833,4229,153908.817108155,-38257.1113230387
32,24,2845,4239,153920.817108155,-38247.1113230387
32,24,2855,4244,153930.817108155,-38242.1113230387
32,24,2858,4245,153933.817108155,-38241.1113230387
32,24,2866,4247,153941.817108155,-38239.1113230387
32,24,2871,4248,153946.817108155,-38238.1113230387
32,24,2883,4250,153958.817108155,-38236.1113230387
32,25,1181,4247,152256.817108155,-38239.1113230387
32,25,1190,4244,152265.817108155,-38242.1113230387
32,25,1192,4243,152267.817108155,-38243.1113230387
32,25,1198,4239,152273.817108155,-38247.1113230387
32,25,1203,4234,152278.817108155,-38252.1113230387
32,25,1204,4232,152279.817108155,-38254.1113230387
32,25,1202,4221,152277.817108155,-38265.1113230387
32,25,1201,4218,152276.817108155,-38268.1113230387
32,25,1195,4201,152270.817108155,-38285.1113230387
32,25,1189,4187,152264.817108155,-38299.1113230387
32,25,1184,4178,152259.817108155,-38308.1113230387
32,25,1183,4177,152258.817108155,-38309.1113230387
32,25,1164,4164,152239.817108155,-38322.1113230387
32,25,1153,4157,152228.817108155,-38329.1113230387
32,25,1118,4167,152193.817108155,-38319.1113230387
32,25,1112,4169,152187.817108155,-38317.1113230387
32,25,1098,4177,152173.817108155,-38309.1113230387
32,25,1082,4190,152157.817108155,-38296.1113230387
32,25,1082,4193,152157.817108155,-38293.1113230387
32,25,1083,4198,152158.817108155,-38288.1113230387
32,25,1084,4201,152159.817108155,-38285.1113230387
32,25,1085,4203,152160.817108155,-38283.1113230387
32,25,1087,4205,152162.817108155,-38281.1113230387
32,25,1090,4207,152165.817108155,-38279.1113230387
32,25,1124,4224,152199.817108155,-38262.1113230387
32,25,1179,4247,152254.817108155,-38239.1113230387
32,26,2560,4248,153635.817108155,-38238.1113230387
32,26,2602,4208,153677.817108155,-38278.1113230387
32,26,2603,4207,153678.817108155,-38279.1113230387
32,26,2603,4202,153678.817108155,-38284.1113230387
32,26,2601,4179,153676.817108155,-38307.1113230387
32,26,2599,4174,153674.817108155,-38312.1113230387
32,26,2592,4174,153667.817108155,-38312.1113230387
32,26,2556,4175,153631.817108155,-38311.1113230387
32,26,2538,4179,153613.817108155,-38307.1113230387
32,26,2528,4182,153603.817108155,-38304.1113230387
32,26,2524,4184,153599.817108155,-38302.1113230387
32,26,2521,4195,153596.817108155,-38291.1113230387
32,26,2517,4211,153592.817108155,-38275.1113230387
32,26,2517,4214,153592.817108155,-38272.1113230387
32,26,2521,4237,153596.817108155,-38249.1113230387
32,26,2527,4243,153602.817108155,-38243.1113230387
32,26,2529,4244,153604.817108155,-38242.1113230387
32,26,2538,4247,153613.817108155,-38239.1113230387
32,26,2543,4248,153618.817108155,-38238.1113230387
32,27,1227,4243,152302.817108155,-38243.1113230387
32,27,1238,4232,152313.817108155,-38254.1113230387
32,27,1239,4230,152314.817108155,-38256.1113230387
32,27,1253,4186,152328.817108155,-38300.1113230387
32,27,1256,4175,152331.817108155,-38311.1113230387
32,27,1257,4171,152332.817108155,-38315.1113230387
32,27,1257,4163,152332.817108155,-38323.1113230387
32,27,1255,4163,152330.817108155,-38323.1113230387
32,27,1234,4165,152309.817108155,-38321.1113230387
32,27,1216,4167,152291.817108155,-38319.1113230387
32,27,1206,4169,152281.817108155,-38317.1113230387
32,27,1192,4173,152267.817108155,-38313.1113230387
32,27,1185,4178,152260.817108155,-38308.1113230387
32,27,1185,4182,152260.817108155,-38304.1113230387
32,27,1186,4186,152261.817108155,-38300.1113230387
