"fov","cell_ID","Area","AspectRatio","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.MembraneStain_B2M","Max.MembraneStain_B2M","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI"
32,43,5848,0.99,4153,4172,155228.817108155,-38314.1113230387,96,97,3528,15935,37,2822,739,7480,66,6588,1370,2829
32,44,3057,2.2,147,4178,151222.817108155,-38308.1113230387,108,49,2050,9578,29,430,732,2398,15,366,636,1901
32,45,7681,1.17,99,4155,151174.817108155,-38331.1113230387,122,104,3890,25304,73,4267,1084,5358,70,5685,1191,3151
32,46,6180,1.12,2726,4161,153801.817108155,-38325.1113230387,105,94,2007,13478,14,226,689,3770,22,590,1068,2623
32,47,4472,2.07,265,4169,151340.817108155,-38317.1113230387,118,57,3262,19432,78,457,840,4058,45,629,863,2450
32,48,4521,1.37,1317,4163,152392.817108155,-38323.1113230387,108,79,5010,48231,65,318,1216,6164,47,584,1216,3487
32,49,11008,1.18,1749,4135,152824.817108155,-38351.1113230387,140,119,3267,14161,95,568,2047,9115,49,706,740,3394
32,50,3014,0.73,26,4161,151101.817108155,-38325.1113230387,54,74,3411,15724,91,3785,1122,4289,70,5731,391,1893
32,51,11651,1.04,3477,4137,154552.817108155,-38349.1113230387,126,121,4304,29519,37,3456,1130,5664,58,7155,997,3160
32,52,8807,1.15,819,4146,151894.817108155,-38340.1113230387,116,101,4065,19281,50,577,858,4282,52,987,220,2200
32,53,7107,0.57,2891,4132,153966.817108155,-38354.1113230387,76,133,4753,19145,47,3471,823,5665,67,7409,694,2313
32,54,11780,0.78,2568,4111,153643.817108155,-38375.1113230387,116,148,4878,22230,78,3345,1534,7466,84,7109,2039,4780
32,55,6045,1.09,1102,4143,152177.817108155,-38343.1113230387,101,93,1989,8543,39,2756,617,4518,47,5181,1077,2994
32,56,6256,1.19,1910,4144,152985.817108155,-38342.1113230387,101,85,4026,20282,87,3983,1162,6187,91,5651,1667,4215
32,57,7362,1.73,261,4138,151336.817108155,-38348.1113230387,159,92,3285,13421,78,4157,845,4613,83,6123,860,3133
32,58,5595,1.4,1197,4134,152272.817108155,-38352.1113230387,123,88,2185,10845,54,4900,611,5986,59,7188,1228,3058
32,59,7302,1.28,4193,4124,155268.817108155,-38362.1113230387,125,98,3007,13591,56,385,1863,13365,52,581,1489,3730
32,60,6577,1.16,1361,4128,152436.817108155,-38358.1113230387,111,96,1985,13559,74,742,1107,7445,26,599,899,2797
32,61,8521,0.94,2468,4117,153543.817108155,-38369.1113230387,102,109,2444,12477,97,3845,1229,8678,94,5650,2363,4827
32,62,6102,0.92,3304,4127,154379.817108155,-38359.1113230387,98,106,2794,13721,53,3837,1062,5998,86,8316,1298,3640
32,63,5494,0.84,3716,4128,154791.817108155,-38358.1113230387,89,106,2381,10914,39,346,1612,17171,65,844,1961,3987
32,64,4809,1.31,1844,4134,152919.817108155,-38352.1113230387,98,75,4728,23886,73,545,835,4778,59,689,1931,3678
32,65,14095,0.63,3131,4093,154206.817108155,-38393.1113230387,106,167,2682,13395,40,494,1834,17794,49,961,945,3487
