cell_id	label	lab_color
f16_c749	CAFs	lightgoldenrod4
f16_c750	BC cells	orangered1
f16_c751	Myoepithelial cells	goldenrod1
f16_c752	CAFs	lightgoldenrod4
f16_c753	Myoepithelial cells	goldenrod1
f16_c754	BC cells	orangered1
f16_c755	BC cells	orangered1
f16_c756	BC cells	orangered1
f16_c757	Mix BC cells TAMs	purple
f16_c758	BC cells	orangered1
f16_c759	Mix BC cells TAMs	purple
f16_c760	BC cells	orangered1
f16_c761	CAFs	lightgoldenrod4
f16_c762	BC cells	orangered1
f16_c763	BC cells	orangered1
f16_c764	BC cells	orangered1
f16_c765	BC cells	orangered1
f16_c766	CAFs	lightgoldenrod4
f16_c767	CAFs	lightgoldenrod4
f16_c768	CAFs	lightgoldenrod4
f16_c769	BC cells	orangered1
f16_c770	CAFs	lightgoldenrod4
f16_c771	BC cells	orangered1
f16_c772	BC cells	orangered1
f16_c773	BC cells	orangered1
f16_c774	BC cells	orangered1
f16_c775	BC cells	orangered1
f16_c776	BC cells	orangered1
f16_c777	NK cells	darkolivegreen1
f16_c778	BC cells	orangered1
f16_c779	BC cells	orangered1
f16_c780	BC cells	orangered1
f16_c781	BC cells	orangered1
f16_c782	BC cells	orangered1
f16_c783	BC cells	orangered1
f16_c784	BC cells	orangered1
f16_c786	BC cells	orangered1
f16_c787	BC cells	orangered1
f16_c788	BC cells	orangered1
f16_c789	BC cells	orangered1
f16_c790	BC cells	orangered1
f16_c791	BC cells	orangered1
f16_c792	BC cells	orangered1
f16_c793	Mix BC cells TAMs	purple
f16_c794	BC cells	orangered1
f16_c795	BC cells	orangered1
f16_c796	BC cells	orangered1
f16_c797	Mix BC cells TAMs	purple
f16_c798	BC cells	orangered1
f16_c799	BC cells	orangered1
f16_c800	BC cells	orangered1
f16_c801	BC cells	orangered1
f16_c802	BC cells	orangered1
f16_c803	BC cells	orangered1
f16_c804	BC cells	orangered1
f16_c805	BC cells	orangered1
f16_c806	BC cells	orangered1
f16_c807	BC cells	orangered1
f16_c808	BC cells	orangered1
f16_c809	BC cells	orangered1
f16_c810	BC cells	orangered1
f16_c811	BC cells	orangered1
f16_c812	BC cells	orangered1
f16_c813	BC cells	orangered1
f16_c814	BC cells	orangered1
f16_c815	BC cells	orangered1
f16_c816	BC cells	orangered1
f16_c817	BC cells	orangered1
f16_c818	BC cells	orangered1
f16_c819	BC cells	orangered1
f16_c820	BC cells	orangered1
f16_c821	BC cells	orangered1
f16_c822	BC cells	orangered1
f16_c823	Mix BC cells TAMs	purple
f16_c824	BC cells	orangered1
f16_c825	BC cells	orangered1
f16_c826	BC cells	orangered1
f16_c827	BC cells	orangered1
f16_c828	BC cells	orangered1
f16_c829	BC cells	orangered1
f16_c830	BC cells	orangered1
f16_c831	BC cells	orangered1
f16_c832	BC cells	orangered1
f16_c833	BC cells	orangered1
f16_c834	CAFs	lightgoldenrod4
f16_c835	BC cells	orangered1
f16_c836	BC cells	orangered1
f16_c837	BC cells	orangered1
f16_c838	BC cells	orangered1
f16_c839	BC cells	orangered1
f16_c840	BC cells	orangered1
f16_c841	BC cells	orangered1
f16_c842	BC cells	orangered1
f16_c843	BC cells	orangered1
f16_c844	BC cells	orangered1
f16_c845	CAFs	lightgoldenrod4
f16_c846	BC cells	orangered1
f16_c847	BC cells	orangered1
f16_c848	BC cells	orangered1
f16_c849	Myoepithelial cells	goldenrod1
f16_c850	BC cells	orangered1
f16_c851	BC cells	orangered1
f16_c852	BC cells	orangered1
f16_c853	BC cells	orangered1
f16_c854	BC cells	orangered1
f16_c855	BC cells	orangered1
f16_c856	BC cells	orangered1
f16_c857	BC cells	orangered1
f16_c858	BC cells	orangered1
f16_c859	BC cells	orangered1
f16_c860	BC cells	orangered1
f16_c861	BC cells	orangered1
f16_c862	BC cells	orangered1
f16_c863	BC cells	orangered1
f16_c864	BC cells	orangered1
f16_c865	BC cells	orangered1
f16_c866	BC cells	orangered1
f16_c867	TAMs	blue
f16_c868	BC cells	orangered1
f16_c869	Mix BC cells TAMs	purple
f16_c870	BC cells	orangered1
f16_c871	BC cells	orangered1
f16_c872	BC cells	orangered1
f16_c873	BC cells	orangered1
f16_c874	BC cells	orangered1
f16_c875	BC cells	orangered1
f16_c876	BC cells	orangered1
f16_c877	BC cells	orangered1
f16_c878	BC cells	orangered1
f16_c879	BC cells	orangered1
f16_c880	BC cells	orangered1
f16_c881	CAFs	lightgoldenrod4
f16_c882	BC cells	orangered1
f16_c883	BC cells	orangered1
f16_c884	BC cells	orangered1
f16_c885	BC cells	orangered1
f16_c886	BC cells	orangered1
f16_c887	BC cells	orangered1
f16_c888	CAFs	lightgoldenrod4
f16_c889	BC cells	orangered1
f16_c890	BC cells	orangered1
f16_c891	BC cells	orangered1
f16_c892	BC cells	orangered1
f16_c893	CAFs	lightgoldenrod4
f16_c894	BC cells	orangered1
f16_c895	BC cells	orangered1
f16_c896	BC cells	orangered1
f16_c897	BC cells	orangered1
f16_c898	BC cells	orangered1
f16_c899	BC cells	orangered1
f16_c900	BC cells	orangered1
f16_c901	BC cells	orangered1
f16_c902	BC cells	orangered1
f16_c903	BC cells	orangered1
f16_c904	BC cells	orangered1
f16_c905	BC cells	orangered1
