cell_id	label	lab_color
f16_c504	BC cells	orangered1
f16_c505	BC cells	orangered1
f16_c506	BC cells	orangered1
f16_c507	TAMs	blue
f16_c508	BC cells	orangered1
f16_c509	BC cells	orangered1
f16_c510	BC cells	orangered1
f16_c511	BC cells	orangered1
f16_c512	BC cells	orangered1
f16_c513	BC cells	orangered1
f16_c514	BC cells	orangered1
f16_c515	BC cells	orangered1
f16_c516	BC cells	orangered1
f16_c517	BC cells	orangered1
f16_c518	BC cells	orangered1
f16_c519	BC cells	orangered1
f16_c520	BC cells	orangered1
f16_c521	BC cells	orangered1
f16_c522	BC cells	orangered1
f16_c523	TAMs	blue
f16_c524	BC cells	orangered1
f16_c525	BC cells	orangered1
f16_c526	BC cells	orangered1
f16_c527	BC cells	orangered1
f16_c528	BC cells	orangered1
f16_c529	BC cells	orangered1
f16_c530	BC cells	orangered1
f16_c531	BC cells	orangered1
f16_c532	BC cells	orangered1
f16_c533	BC cells	orangered1
f16_c534	BC cells	orangered1
f16_c535	BC cells	orangered1
f16_c536	BC cells	orangered1
f16_c537	BC cells	orangered1
f16_c538	BC cells	orangered1
f16_c539	BC cells	orangered1
f16_c540	BC cells	orangered1
f16_c541	BC cells	orangered1
f16_c542	BC cells	orangered1
f16_c543	BC cells	orangered1
f16_c544	BC cells	orangered1
f16_c545	BC cells	orangered1
f16_c546	BC cells	orangered1
f16_c547	BC cells	orangered1
f16_c548	BC cells	orangered1
f16_c549	BC cells	orangered1
f16_c550	BC cells	orangered1
f16_c551	BC cells	orangered1
f16_c552	BC cells	orangered1
f16_c553	BC cells	orangered1
f16_c554	BC cells	orangered1
f16_c555	BC cells	orangered1
f16_c556	BC cells	orangered1
f16_c557	BC cells	orangered1
f16_c558	BC cells	orangered1
f16_c559	BC cells	orangered1
f16_c560	BC cells	orangered1
f16_c561	BC cells	orangered1
f16_c562	BC cells	orangered1
f16_c563	BC cells	orangered1
f16_c564	BC cells	orangered1
f16_c565	BC cells	orangered1
f16_c566	BC cells	orangered1
f16_c567	TAMs	blue
