cell_id	label	lab_color
f344_c268	Proliferating.B.Cell	orchid
f344_c269	dropped	grey30
f344_c27	Proliferating.B.Cell	orchid
f344_c270	dropped	grey30
f344_c271	Proliferating.B.Cell	orchid
f344_c272	dropped	grey30
f344_c273	dropped	grey30
f344_c274	Proliferating.B.Cell	orchid
f344_c275	dropped	grey30
f344_c276	dropped	grey30
f344_c277	dropped	grey30
f344_c278	dropped	grey30
f344_c279	Tfh	#134502
f344_c28	Proliferating.B.Cell	orchid
f344_c280	Proliferating.B.Cell	orchid
f344_c281	dropped	grey30
f344_c282	Proliferating.B.Cell	orchid
f344_c283	dropped	grey30
f344_c284	dropped	grey30
f344_c285	dropped	grey30
f344_c286	dropped	grey30
f344_c287	dropped	grey30
f344_c288	dropped	grey30
f344_c289	dropped	grey30
f344_c29	Proliferating.B.Cell	orchid
f344_c290	dropped	grey30
f344_c291	dropped	grey30
f344_c292	dropped	grey30
f344_c293	dropped	grey30
f344_c294	dropped	grey30
f344_c295	dropped	grey30
f344_c296	dropped	grey30
f344_c297	Proliferating.B.Cell	orchid
f344_c298	dropped	grey30
f344_c299	dropped	grey30
f344_c3	dropped	grey30
f344_c30	unknown	#c0c8cf
f344_c300	Proliferating.B.Cell	orchid
f344_c301	dropped	grey30
f344_c302	Proliferating.B.Cell	orchid
f344_c303	dropped	grey30
f344_c304	dropped	grey30
f344_c305	dropped	grey30
f344_c306	dropped	grey30
f344_c307	dropped	grey30
f344_c308	dropped	grey30
f344_c309	dropped	grey30
f344_c31	unknown	#c0c8cf
f344_c310	dropped	grey30
f344_c311	Proliferating.B.Cell	orchid
f344_c312	dropped	grey30
f344_c313	dropped	grey30
f344_c314	dropped	grey30
f344_c315	dropped	grey30
f344_c316	dropped	grey30
f344_c317	dropped	grey30
f344_c318	dropped	grey30
f344_c319	Proliferating.B.Cell	orchid
f344_c32	dropped	grey30
f344_c320	dropped	grey30
f344_c321	dropped	grey30
f344_c322	dropped	grey30
f344_c323	Proliferating.B.Cell	orchid
f344_c324	Proliferating.B.Cell	orchid
f344_c325	dropped	grey30
f344_c326	dropped	grey30
f344_c327	dropped	grey30
f344_c328	dropped	grey30
f344_c329	Proliferating.B.Cell	orchid
f344_c33	dropped	grey30
f344_c330	Proliferating.B.Cell	orchid
f344_c331	dropped	grey30
f344_c332	dropped	grey30
f344_c333	dropped	grey30
f344_c334	dropped	grey30
f344_c335	dropped	grey30
f344_c336	dropped	grey30
f344_c337	Proliferating.B.Cell	orchid
f344_c338	dropped	grey30
f344_c339	dropped	grey30
f344_c34	dropped	grey30
f344_c340	Tfh	#134502
f344_c341	Tfh	#134502
f344_c342	Proliferating.B.Cell	orchid
f344_c343	Proliferating.B.Cell	orchid
f344_c344	dropped	grey30
f344_c345	dropped	grey30
f344_c346	dropped	grey30
f344_c347	dropped	grey30
f344_c348	dropped	grey30
f344_c349	dropped	grey30
f344_c35	dropped	grey30
