"fov","cellID","cell","x_local_px","y_local_px","x_global_px","y_global_px"
344,1,"c_1_344_1",457,42,2468.09298793475,4223.86576732
344,1,"c_1_344_1",456,43,2467.09063649178,4222.86341587702
344,1,"c_1_344_1",333,38,2343.80265076955,4227.87517309189
344,1,"c_1_344_1",327,32,2337.78854211172,4233.88928174973
344,1,"c_1_344_1",323,26,2333.77913633982,4239.90339040756
344,1,"c_1_344_1",322,24,2332.77678489685,4241.90809329351
344,1,"c_1_344_1",321,21,2331.77443345388,4244.91514762243
344,1,"c_1_344_1",319,13,2329.76973056793,4252.93346246084
344,1,"c_1_344_1",318,8,2328.76737912496,4257.9452196757
344,1,"c_1_344_1",319,3,2329.76973056793,4262.95697689056
344,1,"c_1_344_1",320,1,2330.77208201091,4264.96167977651
344,1,"c_1_344_1",455,34,2466.0882850488,4231.88457886378
344,2,"c_1_344_2",583,42,2594.38802798589,4223.86576732
344,2,"c_1_344_2",510,61,2521.21711770694,4204.82108990351
344,2,"c_1_344_2",462,49,2473.10474514961,4216.84930721919
344,2,"c_1_344_2",458,45,2469.09533937772,4220.85871299108
344,2,"c_1_344_2",456,41,2467.09063649178,4224.86811876297
344,2,"c_1_344_2",454,33,2465.08593360583,4232.88693030675
344,2,"c_1_344_2",454,1,2465.08593360583,4264.96167977651
344,2,"c_1_344_2",575,24,2586.36921644211,4241.90809329351
344,2,"c_1_344_2",577,28,2588.37391932805,4237.89868752162
344,3,"c_1_344_3",704,32,2715.67131082217,4233.88928174973
344,3,"c_1_344_3",700,36,2711.66190505028,4229.87987597783
344,3,"c_1_344_3",690,35,2701.63839062055,4230.88222742081
344,3,"c_1_344_3",648,27,2659.54012672106,4238.90103896459
344,3,"c_1_344_3",638,25,2649.51661229134,4240.90574185054
344,3,"c_1_344_3",632,23,2643.50275198619,4242.91044473648
344,3,"c_1_344_3",608,11,2619.44656570753,4254.93816534678
344,3,"c_1_344_3",604,7,2615.43715993563,4258.94757111867
344,3,"c_1_344_3",601,1,2612.43010560672,4264.96167977651
344,3,"c_1_344_3",698,8,2709.65720216433,4257.9452196757
344,4,"c_1_344_4",814,6,2825.92872778575,4259.94992256165
344,4,"c_1_344_4",716,43,2727.69927978516,4222.86341587702
344,4,"c_1_344_4",705,39,2716.67366226514,4226.87282164892
344,4,"c_1_344_4",698,17,2709.65720216433,4248.92455339432
344,4,"c_1_344_4",698,1,2709.65720216433,4264.96167977651
344,4,"c_1_344_4",813,1,2824.92637634277,4264.96167977651
344,5,"c_1_344_5",2199,52,4214.17107184728,4213.84225289027
344,5,"c_1_344_5",2142,116,4157.03778465589,4149.69250559807
344,5,"c_1_344_5",2132,111,4147.01451857885,4154.70426281293
344,5,"c_1_344_5",2127,106,4142.00276136398,4159.7160200278
344,5,"c_1_344_5",2113,88,4127.96984116236,4177.75809764862
344,5,"c_1_344_5",2076,14,4090.88333447774,4251.93111101786
344,5,"c_1_344_5",2075,11,4089.88098303477,4254.93816534678
344,5,"c_1_344_5",2074,6,4088.8786315918,4259.94992256165
344,5,"c_1_344_5",2074,4,4088.8786315918,4261.95462544759
344,5,"c_1_344_5",2075,1,4089.88098303477,4264.96167977651
344,5,"c_1_344_5",2192,4,4207.15510845184,4261.95462544759
344,5,"c_1_344_5",2194,14,4209.15981133779,4251.93111101786
344,5,"c_1_344_5",2197,30,4212.16686566671,4235.89398463567
344,6,"c_1_344_6",2297,41,4312.40051984787,4224.86811876297
344,6,"c_1_344_6",2286,47,4301.37515068054,4218.85401010513
344,6,"c_1_344_6",2262,44,4277.31871604919,4221.86106443405
344,6,"c_1_344_6",2258,39,4273.3093102773,4226.87282164892
344,6,"c_1_344_6",2246,23,4261.281589667,4242.91044473648
344,6,"c_1_344_6",2246,7,4261.281589667,4258.94757111867
344,6,"c_1_344_6",2247,1,4262.2834444046,4264.96167977651
344,6,"c_1_344_6",2293,22,4308.39161078135,4243.91279617945
344,6,"c_1_344_6",2296,34,4311.3981684049,4231.88457886378
344,7,"c_1_344_7",2343,30,4358.50868622462,4235.89398463567
344,7,"c_1_344_7",2342,33,4357.50633478165,4232.88693030675
344,7,"c_1_344_7",2302,46,4317.41227706273,4219.85636154811
344,7,"c_1_344_7",2298,44,4313.40287129084,4221.86106443405
344,7,"c_1_344_7",2294,29,4309.39396222433,4236.89633607864
344,7,"c_1_344_7",2292,21,4307.38925933838,4244.91514762243
344,7,"c_1_344_7",2292,1,4307.38925933838,4264.96167977651
344,7,"c_1_344_7",2341,9,4356.50398333867,4256.94286823273
344,7,"c_1_344_7",2342,12,4357.50633478165,4253.93581390381
344,8,"c_1_344_8",2431,2,4446.71461979548,4263.95932833354
344,8,"c_1_344_8",2425,16,4440.70051113764,4249.92690483729
344,8,"c_1_344_8",2384,33,4399.60459868113,4232.88693030675
344,8,"c_1_344_8",2346,14,4361.51524384817,4251.93111101786
344,8,"c_1_344_8",2343,12,4358.50868622462,4253.93581390381
344,8,"c_1_344_8",2342,11,4357.50633478165,4254.93816534678
344,8,"c_1_344_8",2341,8,4356.50398333867,4257.9452196757
344,8,"c_1_344_8",2341,1,4356.50398333867,4264.96167977651
344,8,"c_1_344_8",2430,1,4445.71226835251,4264.96167977651
344,9,"c_1_344_9",2801,16,4817.58068005244,4249.92690483729
344,9,"c_1_344_9",2702,91,4718.34888060888,4174.7510433197
344,9,"c_1_344_9",2613,27,4629.14059559504,4238.90103896459
344,9,"c_1_344_9",2612,26,4628.13824415207,4239.90339040756
344,9,"c_1_344_9",2610,22,4626.13354126612,4243.91279617945
344,9,"c_1_344_9",2602,3,4618.11472972234,4262.95697689056
344,9,"c_1_344_9",2602,1,4618.11472972234,4264.96167977651
344,9,"c_1_344_9",2798,2,4814.57362572352,4263.95932833354
344,9,"c_1_344_9",2799,4,4815.57597716649,4261.95462544759
344,10,"c_1_344_10",2834,53,4850.65778096517,4212.8399014473
344,10,"c_1_344_10",2828,49,4844.64416901271,4216.84930721919
344,10,"c_1_344_10",2806,31,4822.5924372673,4234.8916331927
344,10,"c_1_344_10",2802,27,4818.58303149541,4238.90103896459
344,10,"c_1_344_10",2800,15,4816.57832860947,4250.92925628026
344,10,"c_1_344_10",2798,1,4814.57362572352,4264.96167977651
344,10,"c_1_344_10",2799,2,4815.57597716649,4263.95932833354
344,10,"c_1_344_10",2834,52,4850.65778096517,4213.84225289027
344,11,"c_1_344_11",3079,32,5096.23140096664,4233.88928174973
344,11,"c_1_344_11",3032,45,5049.1213798523,4220.85871299108
344,11,"c_1_344_11",3012,17,5029.07484769821,4248.92455339432
344,11,"c_1_344_11",3010,13,5027.07014481227,4252.93346246084
