"fov","Area","AspectRatio","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.Membrane","Max.Membrane","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI","SplitRatioToLocal","NucArea","NucAspectRatio","Circularity","Eccentricity","Perimeter","Solidity","cell_id","X","version","dualfiles","Run_name","Run_Tissue_name","ISH.concentration","Dash","tissue","Panel","assay_type","slide_ID","cell_ID","median_RNA","RNA_quantile_0.75","RNA_quantile_0.8","RNA_quantile_0.85","RNA_quantile_0.9","RNA_quantile_0.95","RNA_quantile_0.99","nCount_RNA","nFeature_RNA","median_negprobes","negprobes_quantile_0.75","negprobes_quantile_0.8","negprobes_quantile_0.85","negprobes_quantile_0.9","negprobes_quantile_0.95","negprobes_quantile_0.99","nCount_negprobes","nFeature_negprobes","Area.um2","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","cell"
344,3132,0.65,53,81,954,1168,452,1188,1677,3776,1699,5384,3654,6292,0,2420,0.65,0.88,0.67,211,14.84,"c_1_344_565",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,565,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14316.12,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,43.68,2,45.1008,2854,948,4864,3317,"c_1_344_565"
344,6640,0.94,104,98,952,1628,464,3036,851,3104,640,3472,2180,5684,0,3036,0.79,0.93,0.81,299,22.21,"c_1_344_566",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,566,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,11521.93,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,40.4,2,95.616,1646,956,3656,3309,"c_1_344_566"
344,5764,0.86,83,97,935,1384,512,1580,1827,8292,1599,6428,4403,7296,0,4752,0.89,0.86,0.85,290,19.88,"c_1_344_567",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,567,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,17045.05,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,47.24,2,83.0016,2787,958,4797,3307,"c_1_344_567"
344,10889,0.96,141,135,1029,1344,479,1144,2098,10872,1414,5504,3659,7412,0,7244,0.93,0.85,0.83,401,27.15,"c_1_344_568",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,568,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14507.85,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,50.84,2,156.8016,3096,981,5106,3284,"c_1_344_568"
344,4113,1,86,86,2332,7440,496,2624,332,1640,360,2376,919,2872,0,1204,0.78,0.83,0.52,249,16.52,"c_1_344_569",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,569,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,5725.18,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,36.16,2,59.2272,519,945,2529,3320,"c_1_344_569"
344,5932,0.81,85,105,1026,1360,451,1148,1549,3436,1436,3344,4069,6616,0,4348,0.67,0.89,0.81,290,20.46,"c_1_344_570",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,570,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14730.33,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,57.99,2,85.4208,3208,970,5218,3295,"c_1_344_570"
344,3144,0.85,79,67,878,1232,457,1976,2769,5012,3102,6976,3728,6564,0,2388,0.88,0.78,0.66,225,13.97,"c_1_344_571",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,571,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,21483.61,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,33.95,2,45.2736,4171,953,6181,3312,"c_1_344_571"
344,7816,1,117,117,966,1240,467,1080,2800,5916,2648,6748,3809,6124,0,5940,0.84,0.77,0.74,356,21.96,"c_1_344_572",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,572,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,19488.22,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,48.8,2,112.5504,3824,980,5834,3285,"c_1_344_572"
344,4016,0.74,71,96,1708,4512,550,1240,630,1516,425,872,1145,2044,0,1716,0.71,0.77,0.52,256,15.69,"c_1_344_573",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,573,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,7980.23,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,64.24,2,57.8304,1043,974,3053,3291,"c_1_344_573"
344,12664,0.75,121,161,1011,1392,563,2648,1733,4564,1691,7532,3270,6248,0,7960,0.66,0.85,0.77,433,29.25,"c_1_344_574",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,574,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,15681.86,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,52.36,2,182.3616,3596,1006,5606,3259,"c_1_344_574"
344,7201,0.79,117,93,954,1276,573,1552,2205,5104,2008,5792,2957,7104,0,3492,0.67,0.92,0.75,313,23.01,"c_1_344_575",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,575,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,18710.64,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,52.79,2,103.6944,3712,972,5722,3293,"c_1_344_575"
344,1884,1,53,53,943,1192,988,2772,3077,5956,3147,5276,2691,4988,0,892,1,0.81,0.83,171,11.02,"c_1_344_576",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,576,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,24067.89,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,38.09,2,27.1296,4132,956,6142,3309,"c_1_344_576"
344,4950,0.84,99,83,1749,5672,507,3268,986,2240,468,3120,1128,2516,0,2176,0.72,0.85,0.54,270,18.33,"c_1_344_577",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,577,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,8401.06,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,62.16,2,71.28,1197,973,3207,3292,"c_1_344_577"
344,3168,0.84,77,65,891,1184,343,716,997,4672,664,2040,3261,7124,0,2084,0.9,0.9,0.59,210,15.09,"c_1_344_578",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,578,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,12985.13,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,40.16,2,45.6192,1832,968,3842,3297,"c_1_344_578"
344,8806,0.64,146,93,781,1416,321,536,1362,5992,940,4440,3168,6460,0,5784,0.78,0.84,0.62,363,24.26,"c_1_344_579",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,579,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14386.32,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,43.8,2,126.8064,1921,976,3931,3289,"c_1_344_579"
344,2870,0.96,66,69,945,1956,650,1476,3363,5192,2530,5556,1736,3152,0,1360,0.76,0.83,0.64,208,13.8,"c_1_344_580",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,580,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,23309.59,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,42.32,2,41.328,3981,970,5991,3295,"c_1_344_580"
344,10137,0.99,140,138,1683,7408,369,3632,280,2740,313,3588,653,2728,0,2544,0.83,0.77,0.43,408,24.85,"c_1_344_581",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,581,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,4927.85,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,37.65,2,145.9728,479,991,2489,3274,"c_1_344_581"
344,9456,0.99,123,124,2389,3556,661,1072,565,1104,683,1424,886,2404,0,2628,0.98,0.87,0.52,369,25.63,"c_1_344_582",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,582,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,10160.8,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,167.62,2,136.1664,814,986,2824,3279,"c_1_344_582"
